season,week,eligible_qb,eligible_rb,eligible_wr,eligible_te,samples,mean,stdev,min,p05,p10,p25,p50,p75,p90,p95,max,score_ge_100_rate
2024,1,22,42,82,21,20000,98.646,18.745,40.200,69.200,75.200,85.500,97.900,110.900,123.300,130.900,176.500,0.4560
2024,2,27,44,78,18,20000,97.680,20.479,32.100,66.000,72.300,83.300,96.500,110.700,124.800,133.400,189.000,0.4314
2024,3,24,43,76,17,20000,108.473,21.715,40.300,74.400,81.200,93.400,107.500,122.500,136.700,146.100,219.600,0.6363
2024,4,24,40,76,16,20000,108.310,20.185,35.900,76.200,82.900,94.200,107.700,121.700,134.700,142.400,195.500,0.6521
2024,5,20,39,64,23,20000,113.790,18.880,55.100,84.100,90.200,100.700,113.100,125.925,138.410,146.300,197.400,0.7629
2024,6,20,39,74,19,20000,109.528,19.549,39.900,77.800,84.700,96.000,109.200,122.500,134.800,142.100,192.000,0.6841
2024,7,20,41,80,24,20000,101.608,19.035,38.000,71.200,77.500,88.300,101.100,114.200,126.700,133.800,181.200,0.5239
2024,8,25,39,71,20,20000,121.545,18.390,56.700,91.900,98.300,109.100,121.000,133.625,145.600,152.900,196.300,0.8827
2024,9,24,37,64,21,20000,114.748,20.192,37.500,82.800,89.100,100.800,114.200,128.125,140.900,149.100,200.700,0.7624
2024,10,20,34,66,23,20000,102.052,18.768,45.500,74.300,79.700,89.200,100.500,112.900,125.900,135.800,200.600,0.5121
2024,11,22,38,69,19,20000,114.936,23.047,42.700,79.200,86.200,98.500,113.800,129.700,145.500,155.100,215.200,0.7290
2024,12,21,38,64,23,20000,106.243,20.436,40.200,75.200,81.000,92.000,105.000,119.000,133.200,142.305,215.700,0.6024
2024,13,26,39,70,24,20000,113.134,19.015,46.100,82.800,89.100,100.000,112.800,125.500,137.800,145.000,192.900,0.7510
2024,14,20,36,58,16,20000,120.759,22.442,47.900,86.400,93.100,105.000,119.200,135.200,150.500,159.800,226.400,0.8234
2024,15,23,42,76,20,20000,106.939,22.703,39.500,71.500,78.400,91.000,105.800,121.800,136.900,146.305,199.100,0.6016
2024,16,21,41,74,18,20000,117.506,20.144,47.200,86.200,92.200,103.600,116.600,130.600,143.800,151.800,221.400,0.8074
2024,17,18,36,75,20,20000,118.442,22.367,37.200,82.800,89.700,103.000,118.000,133.200,147.500,156.100,201.700,0.7918
2024,18,19,36,66,19,20000,115.979,22.324,36.200,80.300,87.900,100.700,115.200,130.300,144.900,154.200,208.100,0.7607
2025,1,21,41,73,26,20000,98.875,18.927,32.300,67.700,74.600,85.900,98.700,111.700,123.200,130.100,168.500,0.4733
2025,2,25,49,78,24,20000,104.784,20.609,30.700,72.395,79.100,90.600,103.900,118.000,131.610,140.005,194.800,0.5759
2025,3,25,44,76,29,20000,98.600,19.655,34.800,67.900,74.100,84.700,97.600,111.500,124.300,132.300,182.900,0.4522
2025,4,23,48,74,28,20000,109.512,20.200,46.900,78.100,84.400,95.200,108.400,122.800,136.300,144.800,194.000,0.6644
2025,5,20,36,65,26,20000,116.386,20.248,36.300,83.500,90.800,102.600,115.900,130.000,142.800,150.400,200.500,0.7920
2025,6,21,45,69,30,20000,101.825,20.362,45.100,71.200,76.600,87.000,100.400,114.900,129.300,137.500,189.000,0.5085
2025,7,17,41,71,30,20000,109.096,23.527,28.600,72.800,80.000,92.700,107.600,124.400,140.600,149.700,215.700,0.6292
2025,8,16,43,61,22,20000,108.969,20.156,39.300,77.200,83.600,94.900,108.400,122.100,135.300,143.200,193.100,0.6602
2025,9,20,40,64,28,20000,110.240,20.365,47.700,79.200,85.300,96.000,109.000,123.000,137.000,145.905,206.800,0.6759
2025,10,21,39,60,24,20000,110.024,21.271,43.000,78.200,84.300,95.200,108.300,123.200,138.500,148.205,208.100,0.6616
2025,11,22,48,66,21,20000,101.829,21.161,41.600,69.900,75.800,86.600,100.400,115.400,129.910,138.900,217.700,0.5081
2025,12,19,39,63,23,20000,102.802,22.458,34.800,69.100,75.800,87.200,101.000,116.300,132.400,143.600,212.200,0.5202
2025,13,23,50,70,26,20000,101.066,17.748,41.300,73.100,78.900,88.700,100.300,112.800,124.500,131.600,175.300,0.5081
2025,14,21,42,64,26,20000,102.133,20.198,34.900,70.800,77.100,88.000,101.100,115.200,128.400,137.200,189.500,0.5217
2025,15,21,48,73,26,20000,110.695,22.653,40.900,76.100,83.000,94.700,109.000,125.100,141.000,150.500,206.200,0.6607
2025,16,23,47,69,27,20000,108.717,22.700,35.200,73.000,80.100,93.000,107.900,123.400,138.400,148.205,204.400,0.6393
2025,17,17,44,73,27,20000,103.452,21.322,34.900,70.600,77.100,88.500,102.100,117.200,131.400,140.605,193.500,0.5404
2025,18,21,47,67,29,20000,90.633,18.970,27.500,60.995,67.190,77.300,89.700,103.100,115.500,123.200,173.900,0.3019
